,tweet,followers,labels,tokens
192,"  i choose interested

SATURYAY ITS QUINCY",124,1,"['choose', 'interested', 'saturyay', 'quincy']"
193,King iz backkkkk https://t.co/JyOzm2zYtL,1080,1,"['king', 'iz', 'backkkkk', 'http', 'tcojyozm2zytl']"
194, LETS GOO,5,0,"['let', 'goo']"
195, YESS,295,1,['yes']
196,Call me Johnny Cash cause I hurt. #johnnycash #hurt,39,0,"['call', 'johnny', 'cash', 'cause', 'hurt', 'johnnycash', 'hurt']"
197, This works as I'm working on building that resume.,1314,1,"['work', 'm', 'working', 'on', 'building', 'resume']"
198, I think she’s still sleeping guys,81,0,"['think', 's', 'still', 'sleeping', 'guy']"
199, This is a group that will never get hemorrhoids because they’re all perfect assholes.,88,0,"['group', 'will', 'never', 'get', 'hemorrhoid', 're', 'all', 'perfect', 'asshole']"
200, wheres the feral boys stream,10801,2,"['wheres', 'feral', 'boy', 'stream']"
201,"  LET’S GO! so glad it was a good night for you, tony 🎉",341,1,"['let', 's', 'go', 'so', 'glad', 'good', 'night', 'tony']"
202,"  We can make it 
We'll hold your shaky hands and be your warmth
Remember us at this moment… https://t.co/x1Hl4HuUWH",30,0,"['can', 'make', 'll', 'hold', 'shaky', 'hand', 'warmth', 'remember', 'u', 'moment', 'http', 'tcox1hl4huuwh']"
203,Bosses of the world take note. https://t.co/cluJg18SYM,68677,2,"['boss', 'world', 'take', 'note', 'http', 'tcoclujg18sym']"
204,JP Morgan Chase Bank paid a FRAUDULENT check from account. This check was already paid in 2019 by Chase. DOUBLE DIP… https://t.co/xwV0K8EdUU,5,0,"['jp', 'morgan', 'chase', 'bank', 'paid', 'fraudulent', 'check', 'from', 'account', 'check', 'already', 'paid', 'in', '2019', 'chase', 'double', 'dip', 'http', 'tcoxwv0k8eduu']"
205, Any time! ^^,13237,2,"['any', 'time']"
206,Words cannot express how much I love this https://t.co/r7C4zgIWZ4,41,0,"['word', 'can', 'not', 'express', 'how', 'much', 'love', 'http', 'tcor7c4zgiwz4']"
207,I dreamt of you kissing me — wanna remake it irl?  https://t.co/ue1pJ3kEMH,350,1,"['dreamt', 'kissing', 'wan', 'na', 'remake', 'irl', 'http', 'tcoue1pj3kemh']"
208, Man you're a hero,0,0,"['man', 're', 'hero']"
209," Biru tua

#MakeItWithIZONE  

We can make it 
We'll hold your shaky hands and be your warm… https://t.co/INlORTbRLb",3,0,"['biru', 'tua', 'makeitwithizone', 'can', 'make', 'll', 'hold', 'shaky', 'hand', 'warm', 'http', 'tcoinlortbrlb']"
210, 😂 Pork chops just roaming around without a care in the world.,175,1,"['pork', 'chop', 'just', 'roaming', 'around', 'without', 'care', 'in', 'world']"
211,Ugh I am not a bm I am just a mom. That is It that is all .,142,1,"['ugh', 'not', 'bm', 'just', 'mom', 'all']"
212," iHeart For BLACKPINK 
I vote #HowYouLikeThat for #BestMusicVideo on #iHeartAwards ",3968,1,"['iheart', 'blackpink', 'vote', 'howyoulikethat', 'bestmusicvideo', 'on', 'iheartawards']"
213,fuck that spamming shit it ain’t gone get u rich for too long,160,1,"['fuck', 'spamming', 'shit', 'ain', 't', 'gone', 'get', 'u', 'rich', 'too', 'long']"
214,   So don’t count her accomplishments in the female rap category then. Count he… https://t.co/U88yszJzMn,15,0,"['so', 'don', 't', 'count', 'accomplishment', 'in', 'female', 'rap', 'category', 'then', 'count', 'http', 'tcou88yszjzmn']"
215,i just read the english translation of no air and it’s such a sweet song im gna cry  ?,928,1,"['just', 'read', 'english', 'translation', 'no', 'air', 's', 'such', 'sweet', 'song', 'im', 'gna', 'cry']"
216, it was literally your idea but ok,35,0,"['literally', 'idea', 'ok']"
217, Rly sad,158,1,"['rly', 'sad']"
218," VIU* PREMIUM PRICES:

14 DAYS- 15 pesos
1 MONTH - 35 pesos
6 MONTHS- 70 pesos
12 MONTHS- 85 pesos

💌… https://t.co/T7cEGsocXU",531,1,"['viu', 'premium', 'price', '14', 'day', '15', 'peso', '1', 'month', '35', 'peso', '6', 'month', '70', 'peso', '12', 'month', '85', 'peso', 'http', 'tcot7cegsocxu']"
219,found the most bizarre wikipedia page where exo-ls and wikipedia mods were arguing https://t.co/l2AVhyScCj https://t.co/JuxVXhmzqN,1051,1,"['found', 'most', 'bizarre', 'wikipedia', 'page', 'where', 'exols', 'wikipedia', 'mod', 'arguing', 'http', 'tcol2avhysccj', 'http', 'tcojuxvxhmzqn']"
220,"She got the best pussy i’ve ever seen, ate, and stroked on me💦🤲🏽🥵♥️♥️💍",4572,1,"['got', 'best', 'pussy', 've', 'ever', 'seen', 'ate', 'stroked', 'on']"
221,favo forever😍 https://t.co/QUwgqpw0n5,226,1,"['favo', 'forever', 'http', 'tcoquwgqpw0n5']"
222,    Lmaooo I know you’re not talking about me?,161,1,"['lmaooo', 'know', 're', 'not', 'talking', 'about']"
223,Pain,14,0,['pain']
224,   Fear and disinformation.,115,1,"['fear', 'disinformation']"
225,"Do you care about the order &amp; the feeling that you rank? 
If you’re thinking about being thoughtless, make your min… https://t.co/WNbzdTF7ty",1684,1,"['care', 'about', 'order', 'amp', 'feeling', 'rank', 're', 'thinking', 'about', 'thoughtless', 'make', 'min', 'http', 'tcownbzdtf7ty']"
226,won't settle for less,75,0,"['wo', 'nt', 'settle', 'le']"
227,"India's Farmers will peacefully protest until Mr. Modi's government repeals the laws.
#KMP_हाइवे_बंद_है
 I support… https://t.co/Zw6TkwWRc3",116,1,"['india', 's', 'farmer', 'will', 'peacefully', 'protest', 'mr', 'modi', 's', 'government', 'repeal', 'law', 'kmp_हइव_बद_ह', 'support', 'http', 'tcozw6tkwwrc3']"
228,i know that man can’t sleep at night because he’s haunted by the fact that all his supporters think he likes dick..… https://t.co/KvzqoQAcLw,771,1,"['know', 'man', 'can', 't', 'sleep', 'night', 's', 'haunted', 'fact', 'all', 'supporter', 'think', 'like', 'dick', 'http', 'tcokvzqoqaclw']"
229," ""Whats the last illegal thing you did and where was it"" https://t.co/LrwQpa52Tm",5654,1,"['whats', 'last', 'illegal', 'thing', 'where', 'http', 'tcolrwqpa52tm']"
230, Haha im out celebrating this,396,1,"['haha', 'im', 'out', 'celebrating']"
231,   Lol how ironic. The only people who are making threats are you and your ilk. V… https://t.co/6vGdUj7r2E,97,0,"['lol', 'how', 'ironic', 'only', 'people', 'making', 'threat', 'ilk', 'v', 'http', 'tco6vgduj7r2e']"
232, YEAHHHHH,199,1,['yeahhhhh']
233,#onlineshopping Unisex Winter Hat with Skulls https://t.co/FBcVrTiNGM https://t.co/VRnBsaT1jI,0,0,"['onlineshopping', 'unisex', 'winter', 'hat', 'with', 'skull', 'http', 'tcofbcvrtingm', 'http', 'tcovrnbsat1ji']"
234,although I will say slade takes a lot more to villainy than deadpool does,2748,1,"['although', 'will', 'say', 'slade', 'take', 'lot', 'more', 'to', 'villainy', 'than', 'deadpool']"
235,"This must be the slowest delivery I’ve ever received. Ordered: May 4, 2020. Shipped: June 5, 2020. Received: April… https://t.co/XGzmWMsZsN",174,1,"['must', 'slowest', 'delivery', 've', 'ever', 'received', 'ordered', 'may', '4', '2020', 'shipped', 'june', '5', '2020', 'received', 'april', 'http', 'tcoxgzmwmszsn']"
236, Cum to me daddy,0,0,"['cum', 'to', 'daddy']"
237,Gotta pee so bad,883,1,"['got', 'ta', 'pee', 'so', 'bad']"
238,The most frustrating part is that we spent $350 on a fancy hotel about halfway between where we live and the vaccin… https://t.co/x9i8oizvJ8,4140,1,"['most', 'frustrating', 'part', 'spent', '350', 'on', 'fancy', 'hotel', 'about', 'halfway', 'between', 'where', 'live', 'vaccin', 'http', 'tcox9i8oizvj8']"
239, Thank u,515,1,"['thank', 'u']"
240, hell no my man,246,1,"['hell', 'no', 'man']"
241, This guy makes me so angry and sad.,27,0,"['guy', 'make', 'so', 'angry', 'sad']"
242, There’s video evidence and everything!,1854,1,"['there', 's', 'video', 'evidence', 'everything']"
243,"Gj zzh : wenzhou are cp

The rest of shl cast: wenzhou are married https://t.co/ZPFaKuk4yp",304,1,"['gj', 'zzh', 'wenzhou', 'cp', 'rest', 'shl', 'cast', 'wenzhou', 'married', 'http', 'tcozpfakuk4yp']"
244, Welcome home. I'd love to sail on a trip on your ship sometime.,107,1,"['welcome', 'home', 'd', 'love', 'to', 'sail', 'on', 'trip', 'on', 'ship', 'sometime']"
245, have a great day okta 💗,1840,1,"['great', 'day', 'okta']"
246,'19 days' more like 'cock and ball torture' https://t.co/krKPgLzp1f,121,1,"['19', 'day', 'more', 'like', 'cock', 'ball', 'torture', 'http', 'tcokrkpglzp1f']"
247, HELEP,10,0,['helep']
248,#TheFalconAndTheWinterSoldier is good. Every scene has so much to unpack. Walker getting beat up after putting hand… https://t.co/LOEFdugCWl,292,1,"['thefalconandthewintersoldier', 'good', 'every', 'scene', 'so', 'much', 'to', 'unpack', 'walker', 'getting', 'beat', 'up', 'after', 'putting', 'hand', 'http', 'tcoloefdugcwl']"
249,"  WINTER LIGHT?

ATEEZ THE ONE 
#STANWORLD #ATEEZ #에이티즈 
",62,0,"['winter', 'light', 'ateez', 'one', 'stanworld', 'ateez', '에이티즈']"
250,"Gulf Mewning , Gulf Morning and Good Mewning 🌞❤🌻 #10Mเมนชั่นของคุณบิ๊กกลัฟ

#MewGulf 
#MewSuppasit 
#GulfKanawut 
#mewlions 
#PhiBalls",29,0,"['gulf', 'mewning', 'gulf', 'morning', 'good', 'mewning', '10mเมนชนของคณบกกลฟ', 'mewgulf', 'mewsuppasit', 'gulfkanawut', 'mewlions', 'phiballs']"
251, Raise your hand if I've ever had to make an account for you because Twitter wants you permanently banned.… https://t.co/CrDpPWZmnj,671,1,"['raise', 'hand', 've', 'ever', 'to', 'make', 'account', 'twitter', 'want', 'permanently', 'banned', 'http', 'tcocrdppwzmnj']"
252," As a member of the Verizon Wireless family, we want to ensure you can get the help that you need. Plea… https://t.co/CRDTx3sHdZ",271076,2,"['member', 'verizon', 'wireless', 'family', 'want', 'to', 'ensure', 'can', 'get', 'help', 'need', 'plea', 'http', 'tcocrdtx3shdz']"
253,   Yeah I love the exclusives for Play Station but if there's an option to have it on the PC haha,1610,1,"['yeah', 'love', 'exclusive', 'play', 'station', 'there', 's', 'option', 'to', 'on', 'pc', 'haha']"
254, Have a nice day☺️💪,2,0,"['nice', 'day']"
255," running another filler now, check new post",4221,1,"['running', 'another', 'filler', 'now', 'check', 'new', 'post']"
256, ohhh yeah i saw that tweet 😭 i think jn is handsome so i ignored your tweet and moved on bc everyone has… https://t.co/RPxSIeGVt2,1445,1,"['ohhh', 'yeah', 'saw', 'tweet', 'think', 'jn', 'handsome', 'so', 'ignored', 'tweet', 'moved', 'on', 'bc', 'everyone', 'http', 'tcorpxsiegvt2']"
257, you not gonna be able to finish 1,193,1,"['not', 'gon', 'na', 'able', 'to', 'finish', '1']"
258,I love you 2000!  💘,165,1,"['love', '2000']"
259, desi pls im sorry,420,1,"['desi', 'pls', 'im', 'sorry']"
260,"going outside requires to much for me, my black ass good where I’m at...🏡",6171,1,"['going', 'outside', 'requires', 'to', 'much', 'black', 'as', 'good', 'where', 'm']"
261, the second one ... https://t.co/cgMuoJFY7X,13,0,"['second', 'one', 'http', 'tcocgmuojfy7x']"
262, I definitely want it to finish tonight!! Personally I enjoy Midnight Nascar once in a blue moon!!,29,0,"['definitely', 'want', 'to', 'finish', 'tonight', 'personally', 'enjoy', 'midnight', 'nascar', 'once', 'in', 'blue', 'moon']"
263, like tea mugs you know,247,1,"['like', 'tea', 'mug', 'know']"
264,also idk what good comes from age checks ppl can still lie,351,1,"['also', 'idk', 'good', 'come', 'from', 'age', 'check', 'ppl', 'can', 'still', 'lie']"
265,Muh boy https://t.co/STptOK4Zhm,553,1,"['muh', 'boy', 'http', 'tcostptok4zhm']"
266, nothing special ?,3407,1,"['nothing', 'special']"
267," Bien, honey~",5,0,"['bien', 'honey']"
268,Hahaha boy that's a long time! Come on out and maybe a Leo is better! https://t.co/RvjJQzw3BA,1378,1,"['hahaha', 'boy', 's', 'long', 'time', 'come', 'on', 'out', 'maybe', 'leo', 'better', 'http', 'tcorvjjqzw3ba']"
269,reply if you wanna be in my carrd,428,1,"['reply', 'wan', 'na', 'in', 'carrd']"
270, You seem like a pangolin!,27,0,"['seem', 'like', 'pangolin']"
271, How about a new album already ..,18,0,"['how', 'about', 'new', 'album', 'already']"
272,"Once I lose this baby weight, I am for sure buying a whole new wardrobe of suits, lehengas etc. I’ll end up flexing… https://t.co/6qP4tFLeho",933,1,"['once', 'lose', 'baby', 'weight', 'sure', 'buying', 'whole', 'new', 'wardrobe', 'suit', 'lehengas', 'etc', 'll', 'end', 'up', 'flexing', 'http', 'tco6qp4tfleho']"
273, Your singing made my night!! So beautiful!! Thank you for bringing so much love and life to Rachael… https://t.co/q4zsL5KJ0j,58,0,"['singing', 'made', 'night', 'so', 'beautiful', 'thank', 'bringing', 'so', 'much', 'love', 'life', 'to', 'rachael', 'http', 'tcoq4zsl5kj0j']"
274,"Imagine Jacqueline Kennedy at the time of this picture had mourned the death of her husband, President Kennedy  and… https://t.co/LXTymM3Yrb",11006,2,"['imagine', 'jacqueline', 'kennedy', 'time', 'picture', 'mourned', 'death', 'husband', 'president', 'kennedy', 'http', 'tcolxtymm3yrb']"
275, RJ WE LOVE YOU,269,1,"['rj', 'love']"
276, wait ur actually gonna do it omg-,3383,1,"['wait', 'ur', 'actually', 'gon', 'na', 'omg']"
277,this pic 😭❤️ https://t.co/yT94Z0WW5S,1274,1,"['pic', 'http', 'tcoyt94z0ww5s']"
278, Sorry but I grew up watching the Bugs Bunny/RoadRunner Hour every Saturday morning and spinning LP’s on a turntable.,9,0,"['sorry', 'grew', 'up', 'watching', 'bug', 'bunnyroadrunner', 'hour', 'every', 'saturday', 'morning', 'spinning', 'lp', 's', 'on', 'turntable']"
279, please don’t leave us. ❤️,620,1,"['please', 'don', 't', 'leave', 'u']"
280, plz check your dm，thank you～,0,0,"['plz', 'check', 'dmthank']"
281,This is the truth 😂😂 https://t.co/7OuJCB7wDK,121,1,"['truth', 'http', 'tco7oujcb7wdk']"
282, Pol Pot,15,0,"['pol', 'pot']"
283, Double,1089,1,['double']
284," That's how SDI works, sorry",140,1,"['s', 'how', 'sdi', 'work', 'sorry']"
285,ADD ALSO. BISEXUAL PROTAGONISTS IN THE PERSONA GAMES 🗣🗣,14175,2,"['add', 'also', 'bisexual', 'protagonist', 'in', 'persona', 'game']"
286,   2 friends that could answer this.,188,1,"['2', 'friend', 'could', 'answer']"
287,  Padres are a problem,342,1,"['padre', 'problem']"
288,Blurry look at the hole left in the wall at the Uptown shopping Centre after a vehicle crashed in the parking garag… https://t.co/aZQ7Ox2LSR,5,0,"['blurry', 'look', 'hole', 'left', 'in', 'wall', 'uptown', 'shopping', 'centre', 'after', 'vehicle', 'crashed', 'in', 'parking', 'garag', 'http', 'tcoazq7ox2lsr']"
289,i forgot i cut myself last night,1789,1,"['forgot', 'cut', 'last', 'night']"
290,"[20th century]
bank balance is everything

[21st century]
mental balance is everything",11,0,"['20th', 'century', 'bank', 'balance', 'everything', '21st', 'century', 'mental', 'balance', 'everything']"
291, Nah im used to intense pain so its okay ^-^,273,1,"['nah', 'im', 'used', 'to', 'intense', 'pain', 'so', 'okay']"
292,JIMIN,684,1,['jimin']
293, ur color palettes are always immaculate ahhh!!,1907,1,"['ur', 'color', 'palette', 'always', 'immaculate', 'ahhh']"
294, i mean its true,1165,1,"['mean', 'true']"
295,"""Best way to know people?""

""The songs they listen to. 
The movies they watch and 
the books they read.""

-The Scribbled Stories",106,1,"['best', 'way', 'to', 'know', 'people', 'song', 'listen', 'to', 'movie', 'watch', 'book', 'read', 'scribbled', 'story']"
296,ms kakie   the 2nd anniv is at april 25. lookinh forward for another zoom meeting😍.,1,0,"['m', 'kakie', '2nd', 'anniv', 'april', '25', 'lookinh', 'forward', 'another', 'zoom', 'meeting']"
297, I’m going to have to see if we can order those at our facility.,113,1,"['m', 'going', 'to', 'to', 'see', 'can', 'order', 'facility']"
298, jackbox stream tonight?,127,1,"['jackbox', 'stream', 'tonight']"
299,"  There’s Tkachuk, Chabot, Norris, Bath, Stützle, Branny, JBD, Pinto, Forms, Abramov, Sokolov,… https://t.co/CIwhH5Hszy",58,0,"['there', 's', 'tkachuk', 'chabot', 'norris', 'bath', 'stützle', 'branny', 'jbd', 'pinto', 'form', 'abramov', 'sokolov', 'http', 'tcociwhh5hszy']"
300,Where’s the lie? https://t.co/uZonamLcHg,2803,1,"['where', 's', 'lie', 'http', 'tcouzonamlchg']"
301,"  We're getting a bit stronger day by day. As long as we're together, we can make it through
#MakeItWithIZONE",14,0,"['re', 'getting', 'bit', 'stronger', 'day', 'day', 'long', 're', 'together', 'can', 'make', 'through', 'makeitwithizone']"
302, can’t tell if this is a petty remark or not /gen but it’s great we can agree 👍🏼,0,0,"['can', 't', 'tell', 'petty', 'remark', 'not', 'gen', 's', 'great', 'can', 'agree']"
303, when is the pack come to Texas?????? https://t.co/S73k2YooKz,186,1,"['when', 'pack', 'come', 'to', 'texas', 'http', 'tcos73k2yookz']"
304, YEAAAAH,119,1,['yeaaaah']
305, YAY! No stream tonight?,100,0,"['yay', 'no', 'stream', 'tonight']"
306,"I'm not sending out a lot of invitations to my graduation, I've already spent a pretty penny on graduation alone 😂… https://t.co/z2ZljAYLK3",274,1,"['m', 'not', 'sending', 'out', 'lot', 'invitation', 'to', 'graduation', 've', 'already', 'spent', 'pretty', 'penny', 'on', 'graduation', 'alone', 'http', 'tcoz2zljaylk3']"
307,Discord: https://t.co/9NHMtxn6kx,0,0,"['discord', 'http', 'tco9nhmtxn6kx']"
308, GRACIAS MAGUI DNSBAJDBKD,1108,1,"['gracias', 'magui', 'dnsbajdbkd']"
309, help why-,1048,1,"['help', 'why']"
310,  😂😂😂😂😂😂😂😂 WASTE OF SPERM ON JESUS 😂😂😂😂😂  is literally my irl he could literally tell you,55,0,"['waste', 'sperm', 'on', 'jesus', 'literally', 'irl', 'could', 'literally', 'tell']"
311, YOUR SICK,155,1,['sick']
312," I guess that's decent for a short Finnish dude... 😉 HYVÄ JUUSE!!🦁🇫🇮🔥👏🏼🙂
So cool that Pekka is able to leav… https://t.co/a36rxtdPXq",439,1,"['guess', 's', 'decent', 'short', 'finnish', 'dude', 'hyvä', 'juuse', 'so', 'cool', 'pekka', 'able', 'to', 'leav', 'http', 'tcoa36rxtdpxq']"
313, Thanks. Getting 1st Pfizer on Monday.,240,1,"['thanks', 'getting', '1st', 'pfizer', 'on', 'monday']"
314,"taylor: released #FearlessTaylorsVersion 

my playlist: https://t.co/46lpTlT6nj",2080,1,"['taylor', 'released', 'fearlesstaylorsversion', 'playlist', 'http', 'tco46lptlt6nj']"
315,  Do not disrespect disc golf,1663,1,"['not', 'disrespect', 'disc', 'golf']"
316,  Good.  Too f’ing bad.,6,0,"['good', 'too', 'f', 'ing', 'bad']"
317, theyll never be him 😔💔,241,1,"['theyll', 'never']"
318,PAPER CUTS FUCKING HURTS LIKE HELL https://t.co/aHhtgI26hF,168,1,"['paper', 'cut', 'fucking', 'hurt', 'like', 'hell', 'http', 'tcoahhtgi26hf']"
319, Me after Im done exposing myself to you https://t.co/2801R7hEwK,176,1,"['after', 'im', 'done', 'exposing', 'to', 'http', 'tco2801r7hewk']"
320, Doesn't sound ridiculous at all.  Best wishes on your endeavor!!,1468,1,"['nt', 'sound', 'ridiculous', 'all', 'best', 'wish', 'on', 'endeavor']"
321, good luck i think,1212,1,"['good', 'luck', 'think']"
322, He literally deserves to be fired 😹😹 I’m hollering tho,75,0,"['literally', 'deserves', 'to', 'fired', 'm', 'hollering', 'tho']"
323, yeah i was just thinking about that,1056,1,"['yeah', 'just', 'thinking', 'about']"
324,  Good morning Hope you have a fantastic day,5852,1,"['good', 'morning', 'hope', 'fantastic', 'day']"
325, Me too! I love on base percentage!,2241,1,"['too', 'love', 'on', 'base', 'percentage']"
326,"Pour mercy, mercy on me
Set fire to history

I vote for #Louies for #BestFanArmy at the #iHeartAwards",853,1,"['pour', 'mercy', 'mercy', 'on', 'set', 'fire', 'to', 'history', 'vote', 'louies', 'bestfanarmy', 'iheartawards']"
327,  You need to add it to your 2022 travel docket!,560,1,"['need', 'to', 'add', 'to', '2022', 'travel', 'docket']"
328," ""i hate it here"" what's ur stan account?",1296,1,"['hate', 'here', 's', 'ur', 'stan', 'account']"
329,Crystal Heart Prism with Pink Quartz https://t.co/4kXXSRi1og https://t.co/k7GhlEl8XS,3859,1,"['crystal', 'heart', 'prism', 'with', 'pink', 'quartz', 'http', 'tco4kxxsri1og', 'http', 'tcok7ghlel8xs']"
330, Vaccinated honkies,1541,1,"['vaccinated', 'honky']"
331,"""I'd crawl a mile in a desolate place with the snakes, just for you"" 人 (_ _ *)",73,0,"['d', 'crawl', 'mile', 'in', 'desolate', 'place', 'with', 'snake', 'just', '人', '_', '_']"
332,Still Can’t Believe It 🥺 https://t.co/dgXZSHukYQ,553,1,"['still', 'can', 't', 'believe', 'http', 'tcodgxzshukyq']"
333, zJoin on instagram,33,0,"['zjoin', 'on', 'instagram']"
334, PLS IKR,1021,1,"['pls', 'ikr']"
335,"While u celebrate Mari and Karnan, Do Credit Ram and Pa.Ranjith too 😍🔥 https://t.co/z38lAfrZhZ",5077,1,"['u', 'celebrate', 'mari', 'karnan', 'credit', 'ram', 'paranjith', 'too', 'http', 'tcoz38lafrzhz']"
336, prettyyy woman,235,1,"['prettyyy', 'woman']"
337," As I've said, PC, i5 8600k, 2070 super, latest drivers, all right with everything, but the game swi… https://t.co/k1ftyWl98L",171,1,"['ve', 'said', 'pc', 'i5', '8600k', '2070', 'super', 'latest', 'driver', 'all', 'right', 'with', 'everything', 'game', 'swi', 'http', 'tcok1ftywl98l']"
338," She takes up all your view above, with feet, one bare, on each side of you. Surely she realizes it gives… https://t.co/WVuwvpdkrv",874,1,"['take', 'up', 'all', 'view', 'above', 'with', 'foot', 'one', 'bare', 'on', 'each', 'side', 'surely', 'realizes', 'give', 'http', 'tcowvuwvpdkrv']"
339, Pshh! It’s nothing.,198,1,"['pshh', 's', 'nothing']"
340, You’re one of those people who’d reply the same thing to someone who says “have a good day.”,56612,2,"['re', 'one', 'people', 'd', 'reply', 'same', 'thing', 'to', 'someone', 'say', 'good', 'day']"
341, gm! have a great dayyyy,815,1,"['gm', 'great', 'dayyyy']"
342, So true king,1382,1,"['so', 'true', 'king']"
343, Love it 💙💙💙 he is so evil and clearly has so much fun being so.,256,1,"['love', 'so', 'evil', 'clearly', 'so', 'much', 'fun', 'so']"
344," Okay big q , see u then",905,1,"['okay', 'big', 'q', 'see', 'u', 'then']"
345,"  Well, it's never too late to start! 😊",6974,1,"['well', 's', 'never', 'too', 'late', 'to', 'start']"
346, Thank you!,347,1,['thank']
347," Bruh uv changed a lot in 6 months😂
Now u look like an old dude

Time to kill some dudes maaafukka",110,1,"['bruh', 'uv', 'changed', 'lot', 'in', '6', 'month', 'now', 'u', 'look', 'like', 'old', 'dude', 'time', 'to', 'kill', 'some', 'dude', 'maaafukka']"
348,"  Yeah, c'mon man!  I know you've got limited room....but I mean, here's a double bill for… https://t.co/Cy0oop37uZ",491,1,"['yeah', 'cmon', 'man', 'know', 've', 'got', 'limited', 'room', 'mean', 'here', 's', 'double', 'bill', 'http', 'tcocy0oop37uz']"
349,The only way Airbnb hosts are landlords is if u think ur 10k vacation is the same a someone’s actual housing,305,1,"['only', 'way', 'airbnb', 'host', 'landlord', 'u', 'think', 'ur', '10k', 'vacation', 'same', 'someone', 's', 'actual', 'housing']"
350,"#tgcw Look for me in the conference bookstore! I should be there all weekend. 

I’m about relentless sin and what t… https://t.co/NOH1xbNkrH",2,0,"['tgcw', 'look', 'in', 'conference', 'bookstore', 'should', 'there', 'all', 'weekend', 'm', 'about', 'relentless', 'sin', 't', 'http', 'tconoh1xbnkrh']"
351,I love-hate the fact I have been a moderator in some form of capacity for rp sites for...god. 11 years? I think? An… https://t.co/qr0wcxrVwn,78,0,"['lovehate', 'fact', 'moderator', 'in', 'some', 'form', 'capacity', 'rp', 'site', 'god', '11', 'year', 'think', 'http', 'tcoqr0wcxrvwn']"
352,**thinks about my l5r session** wOW haha. we done goofed real bad,101,1,"['think', 'about', 'l5r', 'session', 'wow', 'haha', 'done', 'goofed', 'real', 'bad']"
353, LETS FUCKING GOOOOO I CANT WAIT,3468,1,"['let', 'fucking', 'gooooo', 'cant', 'wait']"
354,These fucking piercings won’t fucking heal 😐,1171,1,"['fucking', 'piercings', 'won', 't', 'fucking', 'heal']"
355," If you're comfortable enough with it, probably just telling them that you have trouble with eye contact sometimes should be ok",1358,1,"['re', 'comfortable', 'enough', 'with', 'probably', 'just', 'telling', 'trouble', 'with', 'eye', 'contact', 'sometimes', 'should', 'ok']"
356, i’m excited lowkey,1,0,"['m', 'excited', 'lowkey']"
357,Not me sus af leaving the house with a blanket and pillow 💀😂,250,1,"['not', 'sus', 'af', 'leaving', 'house', 'with', 'blanket', 'pillow']"
358, goodbye,1267,1,['goodbye']
359,feel free to dm me if u have questions ~! https://t.co/4hrsAgXL8p,877,1,"['feel', 'free', 'to', 'dm', 'u', 'question', 'http', 'tco4hrsagxl8p']"
360,"Who's next? California? Federal holiday? Yes, please! https://t.co/4CFHFRsPPO",345,1,"['s', 'next', 'california', 'federal', 'holiday', 'yes', 'please', 'http', 'tco4cfhfrsppo']"
361,   Me right now https://t.co/ByiE76fHXO,1050,1,"['right', 'now', 'http', 'tcobyie76fhxo']"
362,#Oceanography JOL: Effect of random phase error and baseline roll angle error on eddy identification by interferome… https://t.co/6BzpNH2WMJ,783,1,"['oceanography', 'jol', 'effect', 'random', 'phase', 'error', 'baseline', 'roll', 'angle', 'error', 'on', 'eddy', 'identification', 'interferome', 'http', 'tco6bzpnh2wmj']"
363,The replies pls get out bc ariana dont like you https://t.co/nKBb0DS11t,653,1,"['reply', 'pls', 'get', 'out', 'bc', 'ariana', 'dont', 'like', 'http', 'tconkbb0ds11t']"
364, time??,273,1,['time']
365,only 20 finna move in a 3bed room house lol,1132,1,"['only', '20', 'finna', 'move', 'in', '3bed', 'room', 'house', 'lol']"
366,I pray this man never gets tired of me making him Rasta Pasta 🙏🏾🙏🏾,851,1,"['pray', 'man', 'never', 'get', 'tired', 'making', 'rasta', 'pasta']"
367, WS this year.,834,1,"['w', 'year']"
368, Pairaskeets?,2695,1,['pairaskeets']
369,If you want it you gotta see it wirh a clear eye view,1606,1,"['want', 'got', 'ta', 'see', 'wirh', 'clear', 'eye', 'view']"
370,  but which one first 🤔,508,1,"['one', 'first']"
371, #BuildTheWallAroundTexas Let the few decent people out and use Texas for a dumping ground for this count… https://t.co/D01dcGNsV1,1375,1,"['buildthewallaroundtexas', 'let', 'few', 'decent', 'people', 'out', 'use', 'texas', 'dumping', 'ground', 'count', 'http', 'tcod01dcgnsv1']"
372, dark...,305,1,['dark']
373,now that ive seen his rank im going to bed. GN,128,1,"['now', 'ive', 'seen', 'rank', 'im', 'going', 'to', 'bed', 'gn']"
374, LETS HOPE SO,302,1,"['let', 'hope', 'so']"
375,umm idk what the whole age check thing over on genshintwt is abt but for those i need it im 16 lawl i dont care if… https://t.co/Qg1BVZNFS4,351,1,"['umm', 'idk', 'whole', 'age', 'check', 'thing', 'over', 'on', 'genshintwt', 'abt', 'need', 'im', '16', 'lawl', 'dont', 'care', 'http', 'tcoqg1bvznfs4']"
376,"  yes
I vote #BTSArmy for #BestFanArmy at the #iHeartAwards 
",545,1,"['yes', 'vote', 'btsarmy', 'bestfanarmy', 'iheartawards']"
377, Fred VanVleet (54) has a higher career high than Jayson Tatum(53),357,1,"['fred', 'vanvleet', '54', 'higher', 'career', 'high', 'than', 'jayson', 'tatum', '53']"
378, he’s the prettiest :(,4457,1,"['s', 'prettiest']"
